date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:07	121688/121688	---M--	200	added ('OK')	image/jpeg	etag:%225a185eda-1e56e%22	https://colorlib.com/etc/pato/images/booking-01.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/booking-01.jpg	(from https://colorlib.com/etc/pato/)
09:53:07	18310/18310	---M--	200	added ('OK')	image/jpeg	etag:%225a185ecf-4be2%22	https://colorlib.com/etc/pato/images/avatar-01.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/avatar-01.jpg	(from https://colorlib.com/etc/pato/)
09:53:07	19575/19575	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec9-4f20%22	https://colorlib.com/etc/pato/images/avatar-04.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/avatar-04.jpg	(from https://colorlib.com/etc/pato/)
09:53:07	19796/19796	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec6-50ce%22	https://colorlib.com/etc/pato/images/avatar-05.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/avatar-05.jpg	(from https://colorlib.com/etc/pato/)
09:53:08	225197/225197	---M--	200	added ('OK')	image/jpeg	etag:%225a185eca-37bc5%22	https://colorlib.com/etc/pato/images/bg-cover-video-02.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/bg-cover-video-02.jpg	(from https://colorlib.com/etc/pato/)
09:53:08	24854/24854	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:34%20GMT	https://colorlib.com/etc/pato/blog-detail.html	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/blog-detail.html	(from https://colorlib.com/etc/pato/)
09:53:08	118208/118208	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec2-1e5c1%22	https://colorlib.com/etc/pato/images/blog-01.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/blog-01.jpg	(from https://colorlib.com/etc/pato/)
09:53:08	81777/81777	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec5-14762%22	https://colorlib.com/etc/pato/images/blog-02.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/blog-02.jpg	(from https://colorlib.com/etc/pato/)
09:53:08	94347/94347	---M--	200	added ('OK')	image/jpeg	etag:%225a185eca-17c15%22	https://colorlib.com/etc/pato/images/blog-03.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/blog-03.jpg	(from https://colorlib.com/etc/pato/)
09:53:09	121201/121201	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee6-1ea95%22	https://colorlib.com/etc/pato/images/photo-gallery-04.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/photo-gallery-04.jpg	(from https://colorlib.com/etc/pato/)
09:53:09	32887/32887	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee3-86b6%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-04.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/photo-gallery-thumb-04.jpg	(from https://colorlib.com/etc/pato/)
09:53:09	107686/107686	---M--	200	added ('OK')	image/jpeg	etag:%225a185ece-1b205%22	https://colorlib.com/etc/pato/images/photo-gallery-08.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/photo-gallery-08.jpg	(from https://colorlib.com/etc/pato/)
09:53:09	33113/33113	---M--	200	added ('OK')	image/jpeg	etag:%225a185ed5-87cb%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-08.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/photo-gallery-thumb-08.jpg	(from https://colorlib.com/etc/pato/)
09:53:10	63203/63203	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee3-f8f8%22	https://colorlib.com/etc/pato/images/photo-gallery-12.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/photo-gallery-12.jpg	(from https://colorlib.com/etc/pato/)
09:53:10	18995/18995	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee6-4c8f%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-12.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/photo-gallery-thumb-12.jpg	(from https://colorlib.com/etc/pato/)
09:53:10	8833/8833	---M--	200	added ('OK')	image/jpeg	etag:%225a185efc-25c9%22	https://colorlib.com/etc/pato/images/icons/video-16-9.jpg	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/images/icons/video-16-9.jpg	(from https://colorlib.com/etc/pato/)
09:53:10	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b853ec1-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/etc/pato/)
09:53:11	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f3d-15283%22	https://colorlib.com/etc/pato/vendor/jquery/jquery-3.2.1.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/jquery/jquery-3.2.1.min.js	(from https://colorlib.com/etc/pato/)
09:53:11	5615/5615	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860bc-15ef%22	https://colorlib.com/etc/pato/vendor/animsition/js/animsition.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/animsition/js/animsition.min.js	(from https://colorlib.com/etc/pato/)
09:53:11	81670/81670	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860c7-13f06%22	https://colorlib.com/etc/pato/vendor/bootstrap/js/popper.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/bootstrap/js/popper.js	(from https://colorlib.com/etc/pato/)
09:53:11	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860c8-c7c7%22	https://colorlib.com/etc/pato/vendor/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/bootstrap/js/bootstrap.min.js	(from https://colorlib.com/etc/pato/)
09:53:11	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f44-10468%22	https://colorlib.com/etc/pato/vendor/select2/select2.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/select2/select2.min.js	(from https://colorlib.com/etc/pato/)
09:53:12	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f41-b635%22	https://colorlib.com/etc/pato/vendor/daterangepicker/moment.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/pato/)
09:53:12	69776/69776	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f41-11090%22	https://colorlib.com/etc/pato/vendor/daterangepicker/daterangepicker.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/daterangepicker/daterangepicker.js	(from https://colorlib.com/etc/pato/)
09:53:12	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f3a-a76f%22	https://colorlib.com/etc/pato/vendor/slick/slick.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/slick/slick.min.js	(from https://colorlib.com/etc/pato/)
09:53:12	7964/7964	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185ef4-1f1c%22	https://colorlib.com/etc/pato/js/slick-custom.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/js/slick-custom.js	(from https://colorlib.com/etc/pato/)
09:53:12	1257/1257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f40-4e9%22	https://colorlib.com/etc/pato/vendor/parallax100/parallax100.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/parallax100/parallax100.js	(from https://colorlib.com/etc/pato/)
09:53:13	1340/1340	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f3d-53c%22	https://colorlib.com/etc/pato/vendor/countdowntime/countdowntime.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/countdowntime/countdowntime.js	(from https://colorlib.com/etc/pato/)
09:53:13	9372/9372	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860d7-249c%22	https://colorlib.com/etc/pato/vendor/lightbox2/js/lightbox.min.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/vendor/lightbox2/js/lightbox.min.js	(from https://colorlib.com/etc/pato/)
09:53:13	5776/5776	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185ef4-1690%22	https://colorlib.com/etc/pato/js/main.js	C:/My%20Web%20Sites/lakshmi/colorlib.com/etc/pato/js/main.js	(from https://colorlib.com/etc/pato/)
